Suitability_Code,Suitability_Class,Pixel_Count,Area_km2,Minimum_Probability,Maximum_Probability,Mean_Probability,Mean_Uncertainty,Mean_Confidence,High_Confidence_Pixel_Count,High_Confidence_Percentage
1,Very Low,2419659,2177.6931,0.026844734326004982,0.1999998390674591,0.13918516685085944,0.24741869769419647,0.5051626046252786,32945,1.3615554919102237
2,Low,2209276,1988.3483999999999,0.20000001788139343,0.3999995291233063,0.28177605829127783,0.29836080749021004,0.40327838503799324,1,4.5263697247424047e-05
3,Moderate,1503385,1353.0465,0.40000003576278687,0.5999998450279236,0.5015117935346998,0.313838498314281,0.37232300340487023,0,0.0
4,High,572320,515.088,0.600000262260437,0.7999989986419678,0.6645996151547717,0.2773590634291617,0.4452818731471963,62,0.010833100363433044
5,Very High,18522,16.6698,0.8000015020370483,0.9203692078590393,0.8282448350868322,0.22506197306793435,0.5498760535680711,414,2.2351797862001943
